,bt_Close,bt_Volume,bt_High,bt_Low,eth_Close,eth_Volume,eth_High,eth_Low
20,0.0,0.0,12107.3,10942.5,0.0,0.0,1100.31,967.76
19,0.0115469415855,-0.284945807036,11992.8,11172.1,0.00272127224302,-0.312187622088,1093.22,1003.71
18,0.12412308604,-0.214288567548,13103.0,11656.2,0.114708379975,-0.33058676528,1167.11,1044.95
17,0.0109107704642,-0.33855423291,12895.9,11288.2,0.0128343690894,-0.431137089278,1155.68,1021.5
16,-0.047364247183,-0.298460760033,11966.4,10240.2,-0.0318639749875,-0.358387557424,1089.1,930.74
15,-0.0528544911067,-0.35683403904,11377.6,10129.7,-0.0482977573629,-0.401059558932,1023.23,920.54
14,-0.0100654471934,-0.338167425634,11501.4,10639.8,0.0217122785348,-0.335832356626,1062.44,965.81
13,-0.0187801200882,-0.409258741445,11785.7,11057.4,0.0190585556027,-0.31795693058,1104.66,1034.74
12,-0.0264490322356,-0.351135788661,11656.7,10470.3,0.0182286640676,-0.390788977354,1080.6,996.78
11,-0.00298041813001,-0.495135282682,11614.9,10989.2,0.0683116532211,-0.494323310297,1121.98,1042.12
10,0.0271374913943,-0.444065404383,12040.3,11475.3,0.202387385649,-0.0953114685635,1257.77,1111.78
9,-0.0155556911171,-0.526819525445,11875.6,11179.2,0.140965762149,-0.374388716,1256.7,1169.08
8,-0.119269013238,-0.424924768981,11307.2,10036.2,0.0336299069749,-0.308245429684,1184.63,1058.97
7,-0.109264568754,-0.464650741658,10381.6,9777.42,0.0791581425869,-0.367235177626,1128.66,1034.5
6,-0.200817436318,-0.336941759207,10288.8,8812.28,0.000492144980121,-0.113944684692,1161.35,984.82
5,-0.230429023347,-0.15269233842,9142.28,7796.49,-0.116281313931,0.130503239974,1035.77,757.98
4,-0.200436605112,-0.516405022503,9430.75,8251.63,-0.0697301887521,-0.453805116599,991.94,847.69
3,-0.278685653034,-0.529070464169,9334.87,8031.22,-0.194542015671,-0.495296649557,969.03,805.06
2,-0.393870970553,-0.381821389577,8364.84,6756.68,-0.326485119852,-0.281020558003,856.65,644.6
1,-0.324264263741,-0.0679475912759,7850.7,6048.26,-0.234647006601,0.0976623017958,796.44,574.42
